proposed_url,page_type,category,primary_intent,existing_or_new,source_old_url_if_any,calculator_or_content,priority,official_data_dependency,update_frequency,portfolio_overlap_risk,notes
/,homepage,CORE,Broad calculator platform entry point,existing,index.html,content,A,No,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/salary-after-tax-uk.html,calculator/hub,PAY & TAX,UK salary after tax and take-home pay,existing,salary-after-tax-uk.html,calculator,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/salary-tax-calculator-uk.html,calculator,PAY & TAX,UK salary tax calculator,existing,salary-tax-calculator-uk.html,calculator,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/take-home-pay-uk.html,calculator/hub,PAY & TAX,UK take-home pay calculator,existing,take-home-pay-uk.html,calculator,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/salary-after-tax-us.html,calculator/hub,PAY & TAX,US salary after tax calculator,existing,salary-after-tax-us.html,calculator,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/salary-after-tax-by-state.html,hub,PAY & TAX,Compact US state-tax comparison hub,repurpose,salary-after-tax-by-state.html,content,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/planning-calculators.html,hub,CORE,Calculator library and planning gateway,existing,planning-calculators.html,content,A,No,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/salary-guides.html,hub,GUIDES,Salary and pay guide library,existing,salary-guides.html,content,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/methodology.html,trust,TRUST / METHODOLOGY,Calculation methodology,existing,methodology.html,content,A,No,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/tax-assumptions.html,trust,TRUST / METHODOLOGY,Tax assumptions and limitations,existing,tax-assumptions.html,content,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/editorial-standards.html,trust,TRUST / METHODOLOGY,Editorial standards,existing,editorial-standards.html,content,A,No,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/about.html,trust,TRUST / METHODOLOGY,About AfterTaxTool,existing,about.html,content,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/gross-vs-net-pay.html,guide,PAY & TAX,Gross pay vs net pay explained,existing,gross-vs-net-pay.html,content,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/us-state-tax-explained.html,guide,PAY & TAX,US state income tax explained,existing,us-state-tax-explained.html,content,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
/why-your-paycheck-is-different.html,guide,PAY & TAX,Why US paycheck estimates differ,existing,why-your-paycheck-is-different.html,content,A,Yes,Annual,Medium,Legacy URL survives V2. Quality-review status: retained.
