proposed_url,page_type,category,primary_intent,existing_or_new,source_old_url_if_any,calculator_or_content,priority,official_data_dependency,update_frequency,portfolio_overlap_risk,notes,rejection_reason
/affordability-calculator.html,guide/tool candidate,GUIDES,Affordability calculator,existing,affordability-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/average-salary-uk-by-age.html,guide/tool candidate,PAY & TAX,Average salary uk by age,existing,average-salary-uk-by-age.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/average-salary-uk-by-region.html,guide/tool candidate,PAY & TAX,Average salary uk by region,existing,average-salary-uk-by-region.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/average-salary-uk.html,guide/tool candidate,PAY & TAX,Average salary uk,existing,average-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/benefits-vs-salary-calculator.html,guide/tool candidate,WORK MONEY,Benefits vs salary calculator,existing,benefits-vs-salary-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/bonus-and-compensation-comparisons.html,guide/tool candidate,WORK MONEY,Bonus and compensation comparisons,existing,bonus-and-compensation-comparisons.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/bonus-tax-calculator-guide.html,guide/tool candidate,WORK MONEY,Bonus tax calculator guide,existing,bonus-tax-calculator-guide.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/bonus-tax-impact-calculator.html,guide/tool candidate,WORK MONEY,Bonus tax impact calculator,existing,bonus-tax-impact-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/bonus-vs-pay-rise-example.html,guide/tool candidate,WORK MONEY,Bonus vs pay rise example,existing,bonus-vs-pay-rise-example.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/bonus-vs-salary-increase-calculator.html,guide/tool candidate,WORK MONEY,Bonus vs salary increase calculator,existing,bonus-vs-salary-increase-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/compensation-package-planning.html,guide/tool candidate,WORK MONEY,Compensation package planning,existing,compensation-package-planning.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/cost-of-living-comparison-calculator.html,guide/tool candidate,HOUSEHOLD MONEY,Cost of living comparison calculator,existing,cost-of-living-comparison-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/cost-of-living-job-offer-calculator.html,guide/tool candidate,HOUSEHOLD MONEY,Cost of living job offer calculator,existing,cost-of-living-job-offer-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/debt-to-income-calculator.html,guide/tool candidate,BORROWING & DEBT,Debt to income calculator,existing,debt-to-income-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/employee-benefit-tax-calculator.html,guide/tool candidate,WORK MONEY,Employee benefit tax calculator,existing,employee-benefit-tax-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/employee-benefits-calculators.html,guide/tool candidate,WORK MONEY,Employee benefits calculators,existing,employee-benefits-calculators.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/employee-tax-guides.html,guide/tool candidate,PAY & TAX,Employee tax guides,existing,employee-tax-guides.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/employer-pension-value-calculator.html,guide/tool candidate,WORK MONEY,Employer pension value calculator,existing,employer-pension-value-calculator.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/how-much-more-salary-do-you-need-to-move-jobs.html,guide/tool candidate,WORK MONEY,How much more salary do you need to move jobs,existing,how-much-more-salary-do-you-need-to-move-jobs.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-100000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 100000 a good salary uk,existing,is-100000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-100000-a-good-salary-us.html,guide/tool candidate,PAY & TAX,Is 100000 a good salary us,existing,is-100000-a-good-salary-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-120000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 120000 a good salary uk,existing,is-120000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-120000-a-good-salary-us.html,guide/tool candidate,PAY & TAX,Is 120000 a good salary us,existing,is-120000-a-good-salary-us.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-25000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 25000 a good salary uk,existing,is-25000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-30000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 30000 a good salary uk,existing,is-30000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-32000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 32000 a good salary uk,existing,is-32000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-35000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 35000 a good salary uk,existing,is-35000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-40000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 40000 a good salary uk,existing,is-40000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-42000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 42000 a good salary uk,existing,is-42000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-45000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 45000 a good salary uk,existing,is-45000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-48000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 48000 a good salary uk,existing,is-48000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
/is-50000-a-good-salary-uk.html,guide/tool candidate,PAY & TAX,Is 50000 a good salary uk,existing,is-50000-a-good-salary-uk.html,content,C,Maybe,Annual,Medium,Candidate for compact V2 inventory; review before implementation.,"Removed from V2 proposed inventory: weak standalone intent, salary-lattice overlap, duplicated old calculator route, or better handled inside a hub/calculator."
