URL,family,country/state,salary/pay intent,existing inbound link count,existing crawl depth,reason selected,historical GSC evidence,proposed new link sources,priority tier
"https://aftertaxtool.com/25000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","19","2","Common UK exact salary demand around £25,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/30000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","45","2","Common UK exact salary demand around £30,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/35000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","23","2","Common UK exact salary demand around £35,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/40000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","26","1","Common UK exact salary demand around £40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/45000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","36","2","Common UK exact salary demand around £45,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/50000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","51","1","Common UK exact salary demand around £50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/55000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","27","2","Common UK exact salary demand around £55,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/60000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","35","1","Common UK exact salary demand around £60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/65000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","25","2","Common UK exact salary demand around £65,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
"https://aftertaxtool.com/70000-salary-after-tax-uk.html","UK annual salary","UK","annual salary after tax","23","1","Common UK exact salary demand around £70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.","homepage; salary-after-tax-uk.html","Tier 1"
