URL,inbound links before,inbound links after,change,depth before,depth after,internal PageRank-style metric before,internal PageRank-style metric after,PageRank-style change,Tier
"https://aftertaxtool.com/25000-salary-after-tax-uk.html","19","19","0","2","2","0.0007116478849301883","0.0007324325458993682","0.000020784660969179925","Tier 1"
"https://aftertaxtool.com/30000-salary-after-tax-uk.html","45","46","1","2","1","0.002147651428217924","0.00256201054598435","0.00041435911776642595","Tier 1"
"https://aftertaxtool.com/35000-salary-after-tax-uk.html","23","23","0","2","2","0.0007280332518535897","0.0007865096412913718","0.00005847638943778206","Tier 1"
"https://aftertaxtool.com/40000-salary-after-tax-uk.html","26","27","1","1","1","0.0019196135487394594","0.002412955294322527","0.0004933417455830675","Tier 1"
"https://aftertaxtool.com/45000-salary-after-tax-uk.html","36","36","0","2","2","0.0007839861557339464","0.000941773814852487","0.00015778765911854062","Tier 1"
"https://aftertaxtool.com/50000-salary-after-tax-uk.html","51","53","2","1","1","0.0027619461324894755","0.003828102766521023","0.0010661566340315477","Tier 1"
"https://aftertaxtool.com/55000-salary-after-tax-uk.html","27","27","0","2","2","0.0006789610609187059","0.0008144653051538038","0.0001355042442350979","Tier 1"
"https://aftertaxtool.com/60000-salary-after-tax-uk.html","35","36","1","1","1","0.0016642317681974086","0.002173675095640997","0.0005094433274435886","Tier 1"
"https://aftertaxtool.com/65000-salary-after-tax-uk.html","25","25","0","2","2","0.0005975724326328073","0.0006677653034771479","0.0000701928708443406","Tier 1"
"https://aftertaxtool.com/70000-salary-after-tax-uk.html","23","22","-1","1","2","0.0008590898541306065","0.0005537788417285395","-0.00030531101240206695","Tier 1"
"https://aftertaxtool.com/75000-salary-after-tax-uk.html","22","25","3","2","1","0.000751998730449416","0.001375313320007236","0.0006233145895578199","Tier 1"
"https://aftertaxtool.com/80000-salary-after-tax-uk.html","23","22","-1","1","2","0.0009149632321501781","0.0005403401901833961","-0.00037462304196678197","Tier 1"
"https://aftertaxtool.com/90000-salary-after-tax-uk.html","35","34","-1","1","2","0.0018722339891833217","0.0015921700887346476","-0.00028006390044867406","Tier 1"
"https://aftertaxtool.com/100000-salary-after-tax-uk.html","38","42","4","1","1","0.002056098406387547","0.0033274245112655484","0.0012713261048780014","Tier 1"
"https://aftertaxtool.com/120000-salary-after-tax-uk.html","24","26","2","1","2","0.0006508142279105181","0.0005521954462730523","-0.00009861878163746588","Tier 1"
"https://aftertaxtool.com/125000-salary-after-tax-uk.html","24","26","2","3","1","0.00009832447653565386","0.0006396634245874586","0.0005413389480518047","Tier 1"
"https://aftertaxtool.com/150000-salary-after-tax-uk.html","11","14","3","1","1","0.0006452327553659867","0.0007431673334777707","0.00009793457811178396","Tier 1"
"https://aftertaxtool.com/200000-salary-after-tax-uk.html","15","16","1","1","2","0.0006281557281202489","0.00029476436277960853","-0.0003333913653406404","Tier 1"
"https://aftertaxtool.com/30000-salary-after-tax-us.html","13","13","0","2","3","0.00010482493541454324","0.00009418641735129458","-0.00001063851806324866","Tier 1"
"https://aftertaxtool.com/40000-salary-after-tax-us.html","25","24","-1","1","2","0.0008585654762797425","0.0006009221533788192","-0.00025764332290092323","Tier 1"
"https://aftertaxtool.com/50000-salary-after-tax-us.html","35","36","1","1","1","0.0009520843641501726","0.001661463361367511","0.0007093789972173383","Tier 1"
"https://aftertaxtool.com/60000-salary-after-tax-us.html","56","56","0","1","2","0.0008513844492163371","0.0009812398459359698","0.00012985539671963263","Tier 1"
"https://aftertaxtool.com/70000-salary-after-tax-us.html","57","56","-1","1","2","0.0013005342919542823","0.001112201599201977","-0.0001883326927523052","Tier 1"
"https://aftertaxtool.com/75000-salary-after-tax-us.html","30","31","1","2","1","0.00033632952593635643","0.0007211924653951977","0.00038486293945884126","Tier 1"
