URL,family,country/state,salary/pay intent,existing inbound link count,existing crawl depth,reason selected,historical GSC evidence,proposed new link sources,priority tier,inbound after current,inbound change current,depth after current,depth change current
https://aftertaxtool.com/25000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,19,2,"Common UK exact salary demand around £25,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,20,1,2,0
https://aftertaxtool.com/30000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,45,2,"Common UK exact salary demand around £30,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,47,2,1,-1
https://aftertaxtool.com/35000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,23,2,"Common UK exact salary demand around £35,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,24,1,2,0
https://aftertaxtool.com/40000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,26,1,"Common UK exact salary demand around £40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,28,2,1,0
https://aftertaxtool.com/45000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,36,2,"Common UK exact salary demand around £45,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,37,1,2,0
https://aftertaxtool.com/50000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,51,1,"Common UK exact salary demand around £50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,53,2,1,0
https://aftertaxtool.com/55000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,27,2,"Common UK exact salary demand around £55,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,28,1,2,0
https://aftertaxtool.com/60000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,35,1,"Common UK exact salary demand around £60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,37,2,1,0
https://aftertaxtool.com/65000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,25,2,"Common UK exact salary demand around £65,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,26,1,2,0
https://aftertaxtool.com/70000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,23,1,"Common UK exact salary demand around £70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,23,0,2,1
https://aftertaxtool.com/75000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,22,2,"Common UK exact salary demand around £75,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,26,4,1,-1
https://aftertaxtool.com/80000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,23,1,"Common UK exact salary demand around £80,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,23,0,2,1
https://aftertaxtool.com/90000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,35,1,"Common UK exact salary demand around £90,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,35,0,2,1
https://aftertaxtool.com/100000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,38,1,"Common UK exact salary demand around £100,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,42,4,1,0
https://aftertaxtool.com/120000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,24,1,"Common UK exact salary demand around £120,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,27,3,2,1
https://aftertaxtool.com/125000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,24,3,"Common UK exact salary demand around £125,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,27,3,1,-2
https://aftertaxtool.com/150000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,11,1,"Common UK exact salary demand around £150,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,14,3,1,0
https://aftertaxtool.com/200000-salary-after-tax-uk.html,UK annual salary,UK,annual salary after tax,15,1,"Common UK exact salary demand around £200,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 1,16,1,2,1
https://aftertaxtool.com/30000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,13,2,"Common US exact salary demand around $30,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,14,1,3,1
https://aftertaxtool.com/40000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,25,1,"Common US exact salary demand around $40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,25,0,2,1
https://aftertaxtool.com/50000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,35,1,"Common US exact salary demand around $50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,37,2,1,0
https://aftertaxtool.com/60000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,56,1,"Common US exact salary demand around $60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,57,1,2,1
https://aftertaxtool.com/70000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,57,1,"Common US exact salary demand around $70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,57,0,2,1
https://aftertaxtool.com/75000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,30,2,"Common US exact salary demand around $75,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,33,3,1,-1
https://aftertaxtool.com/80000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,43,1,"Common US exact salary demand around $80,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,43,0,2,1
https://aftertaxtool.com/90000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,48,1,"Common US exact salary demand around $90,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,48,0,2,1
https://aftertaxtool.com/100000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,56,1,"Common US exact salary demand around $100,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,59,3,1,0
https://aftertaxtool.com/120000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,24,1,"Common US exact salary demand around $120,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,24,0,2,1
https://aftertaxtool.com/125000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,10,2,"Common US exact salary demand around $125,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,12,2,2,0
https://aftertaxtool.com/150000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,30,1,"Common US exact salary demand around $150,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,32,2,1,0
https://aftertaxtool.com/175000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,10,3,"Common US exact salary demand around $175,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,12,2,2,-1
https://aftertaxtool.com/200000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,18,1,"Common US exact salary demand around $200,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,19,1,1,0
https://aftertaxtool.com/250000-salary-after-tax-us.html,US annual salary,US,annual salary after tax,17,2,"Common US exact salary demand around $250,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-us.html,Tier 1,18,1,2,0
https://aftertaxtool.com/40000-after-tax-monthly.html,UK monthly salary,UK,monthly pay after tax,15,1,"Distinct monthly take-home-pay modifier for £40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 2,15,0,2,1
https://aftertaxtool.com/40000-after-tax-weekly.html,UK weekly salary,UK,weekly pay after tax,13,1,"Distinct weekly take-home-pay modifier for £40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 2,13,0,2,1
https://aftertaxtool.com/40000-after-tax-monthly-us.html,US monthly salary,US,monthly pay after tax,12,2,"Distinct monthly take-home-pay modifier for $40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",salary-after-tax-us.html,Tier 2,13,1,3,1
https://aftertaxtool.com/40000-after-tax-weekly-us.html,US weekly salary,US,weekly pay after tax,13,2,"Distinct weekly take-home-pay modifier for $40,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",salary-after-tax-us.html,Tier 2,14,1,2,0
https://aftertaxtool.com/50000-after-tax-monthly.html,UK monthly salary,UK,monthly pay after tax,21,1,"Distinct monthly take-home-pay modifier for £50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 2,23,2,1,0
https://aftertaxtool.com/50000-after-tax-weekly.html,UK weekly salary,UK,weekly pay after tax,17,1,"Distinct weekly take-home-pay modifier for £50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 2,19,2,1,0
https://aftertaxtool.com/50000-after-tax-monthly-us.html,US monthly salary,US,monthly pay after tax,22,2,"Distinct monthly take-home-pay modifier for $50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",salary-after-tax-us.html,Tier 2,23,1,2,0
https://aftertaxtool.com/50000-after-tax-weekly-us.html,US weekly salary,US,weekly pay after tax,22,2,"Distinct weekly take-home-pay modifier for $50,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",salary-after-tax-us.html,Tier 2,23,1,2,0
https://aftertaxtool.com/60000-after-tax-monthly.html,UK monthly salary,UK,monthly pay after tax,18,1,"Distinct monthly take-home-pay modifier for £60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 2,18,0,2,1
https://aftertaxtool.com/60000-after-tax-weekly.html,UK weekly salary,UK,weekly pay after tax,13,1,"Distinct weekly take-home-pay modifier for £60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 2,13,0,2,1
https://aftertaxtool.com/60000-after-tax-monthly-us.html,US monthly salary,US,monthly pay after tax,19,2,"Distinct monthly take-home-pay modifier for $60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",salary-after-tax-us.html,Tier 2,21,2,2,0
https://aftertaxtool.com/60000-after-tax-weekly-us.html,US weekly salary,US,weekly pay after tax,19,2,"Distinct weekly take-home-pay modifier for $60,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",salary-after-tax-us.html,Tier 2,20,1,2,0
https://aftertaxtool.com/70000-after-tax-monthly.html,UK monthly salary,UK,monthly pay after tax,17,1,"Distinct monthly take-home-pay modifier for £70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 2,18,1,1,0
https://aftertaxtool.com/70000-after-tax-weekly.html,UK weekly salary,UK,weekly pay after tax,14,1,"Distinct weekly take-home-pay modifier for £70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",homepage; salary-after-tax-uk.html,Tier 2,14,0,2,1
https://aftertaxtool.com/70000-after-tax-monthly-us.html,US monthly salary,US,monthly pay after tax,13,2,"Distinct monthly take-home-pay modifier for $70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",salary-after-tax-us.html,Tier 2,14,1,2,0
https://aftertaxtool.com/70000-after-tax-weekly-us.html,US weekly salary,US,weekly pay after tax,12,2,"Distinct weekly take-home-pay modifier for $70,000.","No URL-level GSC export used for this implementation; selected from forensic architecture, common-query demand and weak-link evidence.",salary-after-tax-us.html,Tier 2,13,1,3,1
