rank,tool,proposed_url,cluster,primary_search_intent,user_problem,required_inputs,expected_outputs,why_own_url,portfolio_overlap_risk,implementation_complexity,commercial_value,informational_value,geography,official_data_required,update_frequency,priority
1,take-home-pay-calculator,/pay-tax/take-home-pay-calculator/,Pay and tax,Estimate net pay from gross income,"gross salary, country, pay period, pension/student loan/state options","annual/monthly/weekly net, effective deduction rate",Different core problem from static salary pages; flagship V2 entry point,"Medium with SalaryDecoded; AfterTaxTool owns broad calculator, SalaryDecoded owns salary library",Medium,High,High,UK/US,Yes,Annual tax-year review,A
2,income-tax-calculator,/pay-tax/income-tax-calculator/,Pay and tax,Calculate income tax separately from total take-home pay,"gross income, country, tax year, filing/status options","income tax estimate, taxable income, marginal/effective rate",Distinct from take-home pay because it isolates income tax,Low,Medium,High,High,UK/US,Yes,Annual,A
3,national-insurance-calculator,/pay-tax/national-insurance-calculator/,Pay and tax,Understand UK NI deduction from earnings,"salary, employment class, tax year","employee NI estimate, monthly/weekly equivalent",UK-specific statutory deduction with strong calculator intent,Low,Low,Medium,High,UK,Yes,Annual,A
4,student-loan-repayment-calculator,/pay-tax/student-loan-repayment-calculator/,Pay and tax,Estimate UK student loan payroll deductions,"salary, plan type, postgraduate flag",annual/monthly repayment estimate,Distinct deduction users actively search for,Low,Low,Medium,High,UK,Yes,Annual,A
5,bonus-tax-calculator,/pay-tax/bonus-tax-calculator/,Pay and tax,Estimate take-home from a one-off bonus,"salary, bonus, country, pension assumptions","estimated retained bonus, tax impact",Bonus behaves differently from normal monthly pay in user perception,Medium with SalaryDecoded but tool-first V2 fits,Medium,High,High,UK/US,Yes,Annual,A
6,overtime-tax-calculator,/pay-tax/overtime-tax-calculator/,Pay and tax,Estimate whether extra hours are worth it after deductions,"base pay, hourly rate, overtime hours, country","gross overtime, net overtime, real hourly value",Distinct work/pay calculation with high practical value,Medium with WorthMyTime; AfterTaxTool owns tax effect,Medium,Medium,High,UK/US,Yes,Annual,A
7,pension-contribution-calculator,/pay-tax/pension-contribution-calculator/,Pay and tax,Estimate take-home impact of pension contributions,"salary, employee %, employer %, relief style","take-home change, contribution totals","Strong pay deduction tool, educational not advice",Medium with SalaryDecoded compensation pages,Medium,High,High,UK,Yes,Annual,A
8,salary-sacrifice-calculator,/pay-tax/salary-sacrifice-calculator/,Pay and tax,Model salary sacrifice impact on net pay,"salary, sacrifice amount, pension/benefit type","gross reduction, tax/NI effect, net change",Distinct statutory/payroll planning calculation,Medium,Medium,High,High,UK,Yes,Annual,A
9,mortgage-payment-calculator,/borrowing-debt/mortgage-payment-calculator/,Borrowing,Estimate monthly mortgage repayment,"loan amount, rate, term, repayment type","monthly payment, interest estimate",Clear broad calculator intent and portfolio bridge to CreditRoadmap,Low with CreditRoadmap if kept payment-only,Low,Very high,High,Broad,No official data except formulas,Low,A
10,loan-repayment-calculator,/borrowing-debt/loan-repayment-calculator/,Borrowing,Estimate loan monthly repayments,"amount, APR/rate, term","monthly repayment, total interest",Core money calculator distinct from credit advice,Medium with CreditRoadmap; AfterTaxTool owns arithmetic,Low,High,High,Broad,No,Low,A
11,debt-payoff-calculator,/borrowing-debt/debt-payoff-calculator/,Borrowing,Calculate time to clear debt,"balance, APR, payment","months to clear, interest paid",Useful decision tool without regulated advice,Medium with CreditRoadmap; avoid advice framing,Medium,High,High,Broad,No,Low,A
12,household-budget-calculator,/household-money/household-budget-calculator/,Household,Compare income and regular costs,"income, rent, bills, debt, savings","monthly surplus/deficit, category shares",Natural broad money platform page,Low,Medium,High,High,Broad,No,Low,A
13,rent-affordability-calculator,/household-money/rent-affordability-calculator/,Household,Estimate affordable rent from take-home pay,"monthly income, debts, target ratio","rent range, leftover income",Strong link from salary/take-home to housing,Low,Low,High,High,Broad,No,Low,A
