calculator,url,classification,rule_year,authority,verified,tests_passed,limitations,update_frequency,production_status,notes
UK salary after tax and take-home pay,/salary-after-tax-uk.html,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
UK salary tax calculator,/salary-tax-calculator-uk.html,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
UK take-home pay calculator,/take-home-pay-uk.html,B — RULE DEPENDENT,2026/27 UK or 2026 US where statutory; user-entered assumptions otherwise,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
US salary after tax calculator,/salary-after-tax-us.html,B — RULE DEPENDENT,US federal 2026,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2026; https://www.ssa.gov/news/press/releases/2025/#10-2025-2,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate net pay from gross income,/pay-tax/take-home-pay-calculator/,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,"UK GOV.UK/HMRC 2026/27 payroll assumptions or IRS/SSA 2026 federal assumptions, with visible limitations.",yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Calculate income tax separately from total take-home pay,/pay-tax/income-tax-calculator/,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Understand UK NI deduction from earnings,/pay-tax/national-insurance-calculator/,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate UK student loan payroll deductions,/pay-tax/student-loan-repayment-calculator/,A — PURE MATHEMATICAL,No fixed rule year,https://www.gov.uk/repaying-your-student-loan/what-you-pay,yes,yes,"Single-plan payroll estimate; excludes concurrent plans, arrears and payroll timing edge cases.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate take-home from a one-off bonus,/pay-tax/bonus-tax-calculator/,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate whether extra hours are worth it after deductions,/pay-tax/overtime-tax-calculator/,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate take-home impact of pension contributions,/pay-tax/pension-contribution-calculator/,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Model salary sacrifice impact on net pay,/pay-tax/salary-sacrifice-calculator/,B — RULE DEPENDENT,UK 2026/27; US 2026 where selected,https://www.gov.uk/income-tax-rates; https://www.gov.uk/guidance/rates-and-thresholds-for-employers-2026-to-2027,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",annual tax-year review,READY_AS_ESTIMATE,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate monthly mortgage repayment,/borrowing-debt/mortgage-payment-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,"Mathematical estimate; lender rules, fees, affordability checks and credit decisions are excluded.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate loan monthly repayments,/borrowing-debt/loan-repayment-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,"Mathematical estimate; lender rules, fees, affordability checks and credit decisions are excluded.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Calculate time to clear debt,/borrowing-debt/debt-payoff-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,"Mathematical estimate; lender rules, fees, affordability checks and credit decisions are excluded.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Compare income and regular costs,/household-money/household-budget-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate affordable rent from take-home pay,/household-money/rent-affordability-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,no statutory update; formula review only,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Calculate monthly/yearly commute cost,/work-money/commute-cost-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Check if a higher salary offsets new costs,/work-money/job-change-break-even-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,no statutory update; formula review only,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Project savings growth,/saving/compound-interest-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate emergency fund target,/saving/emergency-fund-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Understand borrowing cost,/borrowing-debt/apr-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,"Mathematical estimate; lender rules, fees, affordability checks and credit decisions are excluded.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Calculate card utilisation ratio,/borrowing-debt/credit-utilisation-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,"Mathematical estimate; lender rules, fees, affordability checks and credit decisions are excluded.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate interest/time saved by overpaying mortgage,/borrowing-debt/mortgage-overpayment-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,"Mathematical estimate; lender rules, fees, affordability checks and credit decisions are excluded.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Compare monthly spending scenarios,/household-money/cost-of-living-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate energy bill impact,/household-money/energy-cost-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate childcare cost against take-home pay,/household-money/childcare-cost-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Spread council tax into budget view,/household-money/council-tax-budget-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,"Educational payroll estimate using stated assumptions; not a payslip, advice or full personal tax return.",occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate monthly car running costs,/household-money/car-running-cost-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate fuel cost per trip/month,/household-money/fuel-cost-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,occasional formula/UX review; rates user-entered,READY,Verified as calculator-led educational output with visible assumptions and limitations.
Estimate buying-power loss,/household-money/inflation-impact-calculator/,A — PURE MATHEMATICAL,No fixed rule year,Standard financial arithmetic; no statutory rate dependency unless user-entered assumptions apply.,yes,yes,Scenario estimate using user-entered assumptions; not financial advice.,no statutory update; formula review only,READY,Verified as calculator-led educational output with visible assumptions and limitations.
